('filename', 'band_number')
('482.tif', tensor(5))
('487.tif', tensor(5))
('488.tif', tensor(5))
('496.tif', tensor(5))
('5.tif', tensor(5))
('50.tif', tensor(4))
('509.tif', tensor(5))
('510.tif', tensor(5))
('533.tif', tensor(5))
('539.tif', tensor(2))
('539.tif', tensor(3))
('539.tif', tensor(4))
('542.tif', tensor(5))
('548.tif', tensor(5))
('550.tif', tensor(5))
('552.tif', tensor(5))
('57.tif', tensor(2))
('57.tif', tensor(3))
('57.tif', tensor(4))
('572.tif', tensor(5))
('578.tif', tensor(5))
('58.tif', tensor(5))
('587.tif', tensor(5))
('593.tif', tensor(5))
('597.tif', tensor(5))
('60.tif', tensor(5))
('608.tif', tensor(5))
('609.tif', tensor(5))
('616.tif', tensor(5))
('628.tif', tensor(5))
('644.tif', tensor(5))
('648.tif', tensor(5))
('649.tif', tensor(5))
('65.tif', tensor(5))
('653.tif', tensor(5))
('662.tif', tensor(5))
('664.tif', tensor(5))
('665.tif', tensor(5))
('666.tif', tensor(5))
('670.tif', tensor(5))
('671.tif', tensor(5))
('681.tif', tensor(5))
('687.tif', tensor(5))
('689.tif', tensor(5))
('692.tif', tensor(5))
('7.tif', tensor(4))
('7.tif', tensor(5))
('70.tif', tensor(5))
('703.tif', tensor(5))
('71.tif', tensor(5))
('710.tif', tensor(5))
('718.tif', tensor(5))
('720.tif', tensor(5))
('722.tif', tensor(5))
('726.tif', tensor(5))
('733.tif', tensor(5))
('737.tif', tensor(5))
('740.tif', tensor(5))
('744.tif', tensor(5))
('745.tif', tensor(5))
('748.tif', tensor(5))
('750.tif', tensor(5))
('756.tif', tensor(5))
('76.tif', tensor(5))
('760.tif', tensor(5))
('762.tif', tensor(5))
('766.tif', tensor(5))
('771.tif', tensor(5))
('773.tif', tensor(5))
('781.tif', tensor(5))
('782.tif', tensor(5))
('790.tif', tensor(5))
('794.tif', tensor(5))
('8.tif', tensor(5))
('810.tif', tensor(5))
('82.tif', tensor(5))
('820.tif', tensor(5))
('826.tif', tensor(5))
('83.tif', tensor(5))
('832.tif', tensor(5))
('849.tif', tensor(5))
('850.tif', tensor(5))
('853.tif', tensor(5))
('860.tif', tensor(5))
('863.tif', tensor(4))
('864.tif', tensor(5))
('866.tif', tensor(5))
('88.tif', tensor(5))
('881.tif', tensor(5))
('888.tif', tensor(5))
('892.tif', tensor(5))
('894.tif', tensor(5))
('898.tif', tensor(5))
('93.tif', tensor(5))
('945.tif', tensor(5))
('948.tif', tensor(5))
('954.tif', tensor(5))
('973.tif', tensor(5))
('980.tif', tensor(5))
('981.tif', tensor(2))
('981.tif', tensor(3))
('981.tif', tensor(4))
('989.tif', tensor(5))
